# ZFIN registered line designations (allele-symbol prefix -> lab of origin).
# Source: https://zfin.org/action/feature/line-designations (fetched 2026-09-01).
# Regenerate by re-running the parser in the PR that added this file against
# a fresh copy of that page. Columns: prefix<TAB>institution<TAB>labs
co	University of Colorado Denver Anschutz Medical Campus	Appel Lab , Artinger Lab , Burger Lab , Clouthier Lab , Jessica Nelson Lab , Macklin Lab , Mosimann Lab , Nancy Miller Lab , Nichols Lab , Ribera Lab , Sagerström Lab , Watt Lab
con	Conicet, National Council for Scientific and Technical Research	Genetics and Molecular Evolution
cph	University of Copenhagen	Lundegaard Lab , Ober Lab
cpu	China Pharmaceutical University	Jing Shang Lab
cq	School of Life Sciences, Southwest University, China	Jianlong Ma Lab , Li Li Lab , Lingfei Luo Lab , Yun Li Lab
cqu	Chongqing University	Wang GX Lab
crg	Centre for Genomic Regulation	Irimia Lab
cri	Children's Hospital of Philadelphia	Falk lab
cru	Creighton University	Kramer Lab
cs	University of Colorado	Medeiros Lab , Stock Lab
csl	California State University Long Beach	Holland Lab
csu	California State University	Nissen Lab
csz	Cedar-Sinai	Melmed Lab , Traver Lab
ct	California Institute of Technology	Bronner-Fraser Lab , Prober Lab , Scott Fraser Lab
cu	Cambridge University	Adams Lab , Buckley Lab , Fleming Lab , Harris Lab , Horvath Lab , Ramakrishnan Lab , Sarris Lab
cub	Charité Universitätsmedizin, Berlin	Anja IH Hagemann Lab
cw	Cornell University	
cwr	Case Western Reserve University	Alagramam Lab , McDermott Lab
cy	Chung Yuan Christian Univ.	Epidermal Stem Cell Lab
cz	Howard Hughes Medical Institute	The Zon Lab
czb	Chan Zuckerberg Biohub	Keir Balla
czf	the Czech Academy of Sciences	Laboratory of Cellular Neurophysiology
e	Institute of Science and Technology Austria	Heisenberg Lab
ecn	East China Normal University	Zhen-Yu Du Lab
ecu	East Carolina University	Fadi Issa Lab , Mruk Lab , Myon Hee Lee Lab , Schwalbe Lab , Yong Zhu Lab
ed	MRC Edinburgh	Abbott lab , Minchin Lab , Rossi Lab , Sieger Lab , Yi Feng Lab
eib	East China University of Science and Technology	Dahai Yang Lab
el	USC Keck School of Medicine	Crump Lab
elu	Eötvös Loránd University	Varga Lab
em	Emory University	Fritz Lab , Henke Lab , Jinhu Wang Lab , Shepherd Lab
en	University Erlangen-Nuremberg	Jobst-Schwan Lab
ens	Ecole Normale Supérieure	Charnay Lab , Kapsimali Lab , SUMBRE Lab
epf	École Polytechnique Fédérale de Lausanne	LEAGO group , Oates Lab
er	University of Muenster	
f	Mass General Hospital - Cardiovascular Research Center	Milan Lab , Peterson Lab , Randall Peterson Lab , The Fishman Laboratory , Yeh Lab , Yuan Lab
fb	Massachusetts General Hospital	Drummond Lab , Galloway Lab , Geoff Burns Lab , Hung Lab , Langenau Lab
fcc	Fox Chase Cancer Center	Rhodes Lab
